平台,订单号,日期,金额,店铺,收货人,订单链接
淘宝,5117619099057009111,2026-05-27,146.30,鑫明耀液压科技,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5117707656919035939,2026-05-27,2.30,绿工旗舰店,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5117050947814035939,2026-05-26,95.00,丰凌旗舰店,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5117539141567009111,2026-05-26,67.00,丰凌旗舰店,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5116508427574054303,2026-05-21,192.84,科麦斯官方旗舰店,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5116627622979009111,2026-05-21,85.20,曼派车品旗舰店,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5116472352583035939,2026-05-19,18.10,DAILYMATE旗舰店,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5116367700121035939,2026-05-18,7.70,鑫明耀液压科技,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5116345057215009111,2026-05-18,20.00,温岭温峤古丰工具商行,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5116235292357009111,2026-05-17,3.03,德国CPAI园林工具,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5115812112112054303,2026-05-13,74.82,好货严选工厂,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
淘宝,5115785941017009111,2026-05-13,426.00,鼎荣工具厂,,https://buyertrade.taobao.com/trade/itemlist/list_bought_items.htm
京东,3508406009471081,2026-05-24,1549.00,兄弟打印旗舰店,,
京东,3507406009207121,2026-05-23,44.00,京东,,
京东,3507406019454220,2026-05-23,119.60,京东,,
京东,3503406018153622,2026-05-19,67.50,京东,,
京东,3502406007341242,2026-05-18,14.20,金蝶财会用品旗舰店,,
京东,3502406007316690,2026-05-18,12.10,金蝶财会用品旗舰店,,
京东,3500406017263276,2026-05-16,596.00,京东,,
京东,3499406006137110,2026-05-15,10.00,用友表单旗舰店,,
京东,3499406006128368,2026-05-15,11.86,用友表单旗舰店,,
京东,3497406005379148,2026-05-14,917.40,京东,,
京东,3495206004529860,2026-05-12,111.64,京东大药房,,
京东,3494206004277232,2026-05-10,69.90,易木专营店,,
京东,3494406004262558,2026-05-10,9.87,易木创意饰品专营店,,
京东,3492406003532943,2026-05-09,145.00,京东,,
京东,3488406002290468,2026-05-07,765.00,京东,,
京东,3487406001980305,2026-05-06,35.90,东鹏饮料官方旗舰店,,
